"","X","Status","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country"
"11",38,"Complete","Netherlands","Senior academic researcher with &gt;10 years of experience applying for research grants","70%","20%","0%","Yes","80%","20%","",1,1,NA,NA,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","3-Jan","","6-Apr","","","80%","90%","","100%","","","Can't comment","Can't comment","Not at all important","Not at all important","","80%","20%","","","","","80%","","20%","","","Stayed the same","Increased considerably","","",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","","","Social Science / Humanities","2005","Germany","Female","Netherlands"
"12",39,"Complete","Netherlands","Senior academic researcher with &gt;10 years of experience applying for research grants","70%","20%","10%","Yes","90%","10%","",1,1,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,1,NA,1,NA,"","Neutral","16+","3-Jan","0","12-Oct","0","0","30%","0%","No need for applications for this research type","40%","No need for applications for this research type","No need for applications for this research type","Very important","Quite important","Mandatory","Somewhat important","0%","80%","10%","10%","0%","","10%","80%","New researcher (no funding in these years)","10%","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"","Can't comment","Can't comment","Can't comment","","","Physical Science (eg. math, physics, chemistry, computer science)","2007","United Kingdom","Male","Netherlands"
"13",40,"Complete","Netherlands","Senior academic researcher with &gt;10 years of experience applying for research grants","100%","0%","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","12-Oct","","","0","","","30%","","","No need for applications for this research type","","","Somewhat important","","Quite important","","20%","80%","","","","","100%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Increased","Increased considerably","",NA,NA,1,NA,"","Will decrease considerably","Will increase slightly","Will increase considerably","","","Social Science / Humanities","2004","Netherlands","Female","Netherlands"
"14",41,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","20%","80%","0%","No","","","",NA,NA,NA,NA,NA,"","","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","12-Oct","16+","0","3-Jan","6-Apr","0","40%","60%","No need for applications for this research type","80%","90%","No need for applications for this research type","Very important","Somewhat important","Quite important","Not at all important","20%","30%","0%","50%","0%","","New researcher (no funding in these years)","30%","New researcher (no funding in these years)","70%","New researcher (no funding in these years)","","Decreased","Increased considerably","Increased considerably","",NA,NA,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","","","Natural Science","2007","Canada","Female","Netherlands"
"15",42,"Complete","Netherlands","Senior academic researcher with &gt;10 years of experience applying for research grants","60%","30%","10%","Yes","90%","10%","",NA,NA,1,NA,NA,"","Neutral","Some partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Neutral","9-Jul","3-Jan","3-Jan","9-Jul","3-Jan","0","50%","No need for applications for this research type","No need for applications for this research type","70%","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Somewhat important","Not at all important","0%","20%","80%","0%","0%","","New researcher (no funding in these years)","20%","80%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Can't comment","Increased","",NA,NA,1,NA,"","Will decrease considerably","Can't comment","Will increase slightly","","","Natural Science","2003","Brazil","Male","Netherlands"
"16",44,"Complete","","Senior academic researcher with &gt;10 years of experience applying for research grants","80%","20%","","Yes","100%","","",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","Yes","No partnership",NA,NA,NA,1,1,"approached by the industry partner; very much encouraged (pressured!) by university","Slightly negative","12-Oct","3-Jan","","3-Jan","0","","30%","50%","","80%","","","Quite important","Somewhat important","Not very important","Not very important","40%","50%","10%","","","","30%","70%","","","","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"","Will decrease considerably","Will increase slightly","Will stay the same","","We have to change this question!! Use the same format as previous questions - decrease->increase in same slots as previous questions.","Medicine and Life Science","2005","Australia","Female",""
"17",46,"Complete","South Africa","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","30%","60%","10%","Yes","40%","50%","10%",1,NA,1,NA,NA,"","Very positive","Strong partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","9-Jul","3-Jan","3-Jan","6-Apr","0","20%","80%","80%","20%","80%","","Very important","Very important","Quite important","Quite important","20%","40%","40%","0%","","","10%","40%","50%","","","","Stayed the same","Increased","Stayed the same","",1,1,NA,NA,"","Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly","","Natural Science","2003","South Africa","Male","South Africa"
"18",47,"Complete","Denmark","Senior academic researcher with &gt;10 years of experience applying for research grants","50%","30%","20%","Yes","70%","20%","10%",NA,1,NA,NA,NA,"","Slightly positive","Some partnership","Yes","Some partnership",NA,1,NA,NA,NA,"","Slightly positive","3-Jan","3-Jan","0","3-Jan","0","0","60%","30%","10%","70%","20%","10%","Quite important","Quite important","Quite important","Quite important","0%","90%","10%","0%","0%","","70%","20%","10%","New researcher (no funding in these years)","New researcher (no funding in these years)","","Stayed the same","Increased","Increased considerably","",1,NA,NA,NA,"","Will stay the same","Will decrease slightly","Will increase slightly","Will increase slightly","","Medicine and Life Science","2000","Japan","Male","Denmark"
"19",53,"Complete","Morocco","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","50%","20%","30%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","Some partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","0","6-Apr","0","0","0","70%","0%","50%","0%","0%","0%","Quite important","Can't comment","Quite important","Can't comment","0%","20%","30%","20%","30%","International government institution","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"","Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly","","Interdisciplinary Science","","","Female","Morocco"
"20",54,"Complete","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","0%","40%","60%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","","3-Jan","3-Jan","0","0","0","No need for applications for this research type","","100%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Not very important","Can't comment","20%","80%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"","Can't comment","Can't comment","Can't comment","","","Physical Science (eg. math, physics, chemistry, computer science)","2015","United States","Female","Netherlands"
"21",57,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","0%","70%","30%","Yes","40%","60%","",NA,1,1,1,NA,"","Very negative","Some partnership","Yes","Some partnership",1,1,1,1,NA,"","Slightly positive","","3-Jan","6-Apr","","6-Apr","","No need for applications for this research type","70%","100%","No need for applications for this research type","100%","No need for applications for this research type","Mandatory","Mandatory","Quite important","Quite important","20%","","","80%","","","20%","60%","","20%","","","Can't comment","Stayed the same","Can't comment","",NA,NA,NA,1,"I don't know how to answer this question...   PLEASE kindly keep what I say below CONFIDENTIAL as it makes me identifiable:  I was based in Australia for most of the past 10 years, but most of my research was focused in China, and then I moved to the UK. In China, my impression was there has been an increase in investment across all three types of research (in terms of fundamental research, the increase was in basic science, but not for humanity or social sciences). In Australia, there were rounds and rounds of cuts to university and research funding.  Many of my senior colleagues lost their jobs in the process. In the UK, my impression is that it is much easier to find funding for fundamental research in social sciences relative to Australia and China, but that is a cross-context impression.  I haven't looked into the history of UK research funding.","Can't comment","Can't comment","Can't comment","","If the pots of money do not increase for fundamental research in the 3 countries I mentioned (for China, fundamental research in social science and humanity, and especially in humanity), we won't have a next generation of scholar in many interesting research area.","Social Science / Humanities","2008","United Kingdom","Female","Netherlands"
"22",58,"Complete","Netherlands","Senior academic researcher with &gt;10 years of experience applying for research grants","40%","30%","30%","Yes","100%","","",NA,NA,1,NA,NA,"","Very positive","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Very positive","16+","3-Jan","3-Jan","6-Apr","6-Apr","","40%","10%","50%","70%","30%","","Mandatory","Very important","Quite important","Not very important","60%","40%","","","","","50%","50%","","","","","Decreased considerably","Increased considerably","Increased considerably","",NA,1,1,NA,"The Netherlands have defined 'top sectors' that received extra funding and at the same time decreased funding or blue sky research. The impact on the humanities has been crushing.","Will decrease considerably","Will increase slightly","Will increase slightly","Will stay the same","I do not think the country of work has a big impact. Researchers will continue to emigrate where there are jobs. There will be more jobs in more countries than the usual ones. In my country of origin there is no money and no jobs, flat. IN my country of adoption hirings are linked to grants but having a grant is not yet mandatory, but it is becoming an element of important priority in hiring decisions because my university is considering paying only teaching hours and let researchers find their own money for research outside regular appointments (i.e. outsource research to grant agencies)","Social Science / Humanities","2001","Netherlands","Other","Netherlands"
"23",59,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","60%","10%","30%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","3-Jan","","3-Jan","0","0","0","60%","0%","10%","","","","Mandatory","","Quite important","","","90%","0%","10%","0%","","","","","","","","Decreased","Increased","Increased considerably","",NA,NA,1,NA,"","Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly","","Medicine and Life Science","2008","Mauritius","Female","Netherlands"
"24",60,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","100%","","0%","Yes","90%","","10%",NA,NA,1,NA,NA,"","Neutral","No partnership","Yes","Some partnership",1,NA,NA,1,NA,"","Neutral","6-Apr","","","3-Jan","","3-Jan","70%","","","70%","","100%","Not at all important","Somewhat important","Not at all important","Not at all important","50%","50%","","","","","40%","40%","20%","","","","Decreased","","Increased","",NA,NA,1,NA,"","Will decrease slightly","","Will stay the same","Will decrease slightly","","Other","2005","Uruguay","Male","Netherlands"
"25",61,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","100%","100%","20%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","9-Jul","3-Jan","3-Jan","3-Jan","3-Jan","3-Jan","60%","60%","60%","60%","60%","60%","Mandatory","Mandatory","Not at all important","Not at all important","10%","100%","0%","10%","0%","","10%","100%","New researcher (no funding in these years)","0%","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"","Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly","","Medicine and Life Science","2006","Turkey","Male","Netherlands"
"26",65,"Complete","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","40%","30%","30%","Yes","40%","40%","20%",NA,1,1,NA,NA,"","Neutral","Some partnership","Yes","Strong partnership",NA,1,NA,1,NA,"","Slightly negative","3-Jan","3-Jan","3-Jan","6-Apr","3-Jan","0","30%","0%","0%","30%","0%","0%","Somewhat important","Somewhat important","Somewhat important","Not very important","30%","30%","0%","30%","10%","Crowdfunding","50%","50%","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased","Stayed the same","Increased","",NA,NA,1,NA,"While I feel that funding for applied research has increased (both in rhetoric but also in key priority areas), I also feel that fundamental research has been slanted more strongly according to social and political values via hype and cultural trends.","Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly","","Interdisciplinary Science","2011","Australia","Male","Netherlands"
"27",66,"Complete","United Kingdom","Senior academic researcher with &gt;10 years of experience applying for research grants","50%","50%","50%","Yes","30%","30%","40%",1,1,1,NA,NA,"","Very positive","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","12-Oct","12-Oct","9-Jul","16+","16+","30%","30%","40%","40%","30%","20%","Very important","Very important","Somewhat important","Somewhat important","50%","50%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased","Increased","Increased","",NA,1,1,NA,"","Will stay the same","Will decrease considerably","Will decrease slightly","Will decrease considerably","","Interdisciplinary Science","2002","Taiwan","Male","United Kingdom"
"28",67,"Complete","California","Senior academic researcher with &gt;10 years of experience applying for research grants","40%","40%","20%","Yes","80%","10%","10%",NA,NA,1,NA,NA,"","Slightly positive","Strong partnership","Yes","Some partnership",NA,NA,NA,1,NA,"","Slightly negative","16+","16+","9-Jul","16+","6-Apr","3-Jan","10%","20%","30%","10%","20%","10%","Mandatory","Somewhat important","Somewhat important","Not very important","10%","50%","20%","20%","","","10%","80%","10%","","","","Decreased considerably","Stayed the same","Increased","",NA,1,NA,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same","","Physical Science (eg. math, physics, chemistry, computer science)","1997","United States","Male","USA"
"29",68,"Complete","Netherlands","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","60%","40%","50%","Yes","50%","30%","20%",NA,NA,1,NA,NA,"","Very positive","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Very positive","12-Oct","6-Apr","3-Jan","3-Jan","0","3-Jan","20%","30%","50%","60%","20%","10%","Very important","Very important","Quite important","Quite important","40%","40%","10%","10%","","","70%","30%","0%","New researcher (no funding in these years)","","","Decreased","Stayed the same","Increased","",NA,1,1,NA,"","Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably","","Engineering","2013","Indonesia","Female","Netherlands"
"30",70,"Complete","","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","10%","40%","50%","Can't comment (new researcher)","","","",NA,NA,NA,NA,NA,"","","No partnership","Can't comment (new researcher)","",NA,NA,NA,NA,NA,"","","0","0","6-Apr","0","0","0","No need for applications for this research type","No need for applications for this research type","20%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Quite important","Can't comment","40%","40%","0%","0%","20%","Personnal funding ","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,1,1,NA,"","Will increase slightly","Will increase considerably","Will increase slightly","Will increase considerably","","Engineering","I did not complete a PhD","Morocco","Female",""
"31",71,"Complete","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","3-Jan","0","0","3-Jan","0","0","50%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Somewhat important","Not at all important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Increased","Increased considerably","",NA,NA,1,NA,"Funding was explicitly moved from universities to the applied sector and thematically tied to economic and societal valorisation. ","Will decrease slightly","Can't comment","Will increase slightly","Will stay the same","","Social Science / Humanities","2009","Netherlands","Male","Netherlands"
"32",72,"Complete","France","Senior academic researcher with &gt;10 years of experience applying for research grants","100%","0%","0%","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","12-Oct","0","0","30%","No need for applications for this research type","No need for applications for this research type","0%","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Not very important","Not very important","20%","80%","0%","0%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Decreased considerably","Can't comment","Can't comment","",NA,1,1,NA,"","Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly","","Physical Science (eg. math, physics, chemistry, computer science)","2002","South Africa","Male","France"
"33",74,"Complete","New Zealand","Senior academic researcher with &gt;10 years of experience applying for research grants","70%","10%","20%","Yes","80%","20%","0%",NA,NA,NA,NA,1,"Serendipitous opportunity  - I was talking to someone over a glass of wine who had a commercial problem I thought I could solve.","Very positive","Some partnership","Yes","No partnership",NA,NA,NA,NA,1,"An opportunity","Very positive","9-Jul","3-Jan","3-Jan","9-Jul","3-Jan","","30%","100%","","30%","100%","No need for applications for this research type","Can't comment","Can't comment","Can't comment","Can't comment","10%","90%","0%","0%","0%","","10%","80%","0%","0%","10%","Military","Decreased","Stayed the same","Stayed the same","",NA,1,1,NA,"","Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same","One has to be an optimist...","Physical Science (eg. math, physics, chemistry, computer science)","1994","New Zealand","Male","New Zealand"
"34",78,"Complete","","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","100%","","","No","","","",NA,NA,NA,NA,NA,"","","No partnership","No","",NA,NA,NA,NA,NA,"","","6-Apr","0","0","3-Jan","0","0","100%","No need for applications for this research type","No need for applications for this research type","100%","No need for applications for this research type","No need for applications for this research type","Not at all important","Not at all important","Not at all important","Not at all important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Stayed the same","Increased considerably","",NA,NA,1,NA,"","Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly","","Natural Science","2008","India","Female",""
"35",80,"Complete","France","Senior academic researcher with &gt;10 years of experience applying for research grants","50%","50%","0%","Yes","100%","0%","0%",NA,NA,1,NA,NA,"","Slightly negative","Some partnership","Yes","No partnership",NA,NA,NA,1,NA,"","Slightly negative","9-Jul","3-Jan","0","3-Jan","0","0","0%","100%","No need for applications for this research type","30%","No need for applications for this research type","No need for applications for this research type","Mandatory","Not at all important","Mandatory","Not very important","0%","100%","0%","0%","0%","","0%","100%","0%","0%","0%","","Decreased considerably","Increased considerably","Increased considerably","",NA,1,1,NA,"","Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably","","Interdisciplinary Science","1984","France","Female","France"
"36",81,"Complete","","Early career academic researcher with &lt;10 years experience applying for research grants since completion of PhD","0%","90%","10%","Yes","0%","90%","10%",1,NA,NA,1,NA,"","Very positive","Some partnership","Yes","Some partnership",1,NA,1,1,NA,"","Very positive","3-Jan","3-Jan","3-Jan","3-Jan","0","0","0%","10%","90%","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Can't comment","Can't comment","40%","40%","","20%","0%","","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","Can't comment","Can't comment","Can't comment","",NA,NA,NA,NA,"","Can't comment","Can't comment","Can't comment","Will stay the same","","Engineering","2010","Bangladesh","Female",""
