"","Location","Country","gender","type_past","percent_past"
"126","Israel","Israel","Female","percent_Applied_Research_past",0
"127","Israel","Israel","Male","percent_Applied_Research_past",0
"128","Israel","Israel","Male","percent_Applied_Research_past",0
"129","Vermont","USA","Male","percent_Applied_Research_past",20
"130","Israel","Israel","Male","percent_Applied_Research_past",60
"131","Spain","Spain","Male","percent_Applied_Research_past",0
"132","Israel","Israel","Female","percent_Applied_Research_past",0
"133","Israel","Israel","Female","percent_Applied_Research_past",0
"134","Israel","Israel","Female","percent_Applied_Research_past",0
"135","Israel","Israel","Male","percent_Applied_Research_past",30
"136","Israel","Israel","Male","percent_Applied_Research_past",0
"137","Israel","Israel","Male","percent_Applied_Research_past",0
"138","Israel","Israel","Male","percent_Applied_Research_past",70
"139","Israel","Israel","Female","percent_Applied_Research_past",0
"140","Israel","Israel","Male","percent_Applied_Research_past",0
"141","Ontario","Canada","Female","percent_Applied_Research_past",0
"142","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"143","Israel","Israel","Female","percent_Applied_Research_past",0
"144","Israel","Israel","Male","percent_Applied_Research_past",50
"145","Israel","Israel","Male","percent_Applied_Research_past",10
"146","United Kingdom","United Kingdom","Female","percent_Applied_Research_past",0
"147","United Kingdom","United Kingdom","Female","percent_Applied_Research_past",0
"148","Israel","Israel","Female","percent_Applied_Research_past",0
"149","Brazil","Brazil","Female","percent_Applied_Research_past",10
"150","Netherlands","Netherlands","Male","percent_Applied_Research_past",0
"151","Brazil","Brazil","Male","percent_Applied_Research_past",45.4545454545455
"152","Brazil","Brazil","Male","percent_Applied_Research_past",20
"153","Brazil","Brazil","Female","percent_Applied_Research_past",40
"154","Germany","Germany","Male","percent_Applied_Research_past",50
"155","Spain","Spain","Male","percent_Applied_Research_past",0
"156","Brazil","Brazil","Female","percent_Applied_Research_past",10
"157","Brazil","Brazil","Female","percent_Applied_Research_past",0
"158","Italy","Italy","Male","percent_Applied_Research_past",0
"159","Uruguay","Uruguay","Male","percent_Applied_Research_past",0
"160","Ontario","Canada","Female","percent_Applied_Research_past",10
"161","Ontario","Canada","Male","percent_Applied_Research_past",0
"162","Quebec","Canada","Male","percent_Applied_Research_past",0
"163","Alberta","Canada","Male","percent_Applied_Research_past",0
"164","Alberta","Canada","Male","percent_Applied_Research_past",20
"165","Alberta","Canada","Female","percent_Applied_Research_past",0
"166","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",10
"167","Alberta","Canada","Male","percent_Applied_Research_past",10
"168","Alberta","Canada","Male","percent_Applied_Research_past",50
"169","Prince Edward Island","Canada","Female","percent_Applied_Research_past",30
"170","Ontario","Canada","Male","percent_Applied_Research_past",0
"171","Ontario","Canada","Male","percent_Applied_Research_past",0
"172","Nova Scotia","Canada","Female","percent_Applied_Research_past",10
"173","Ontario","Canada","Female","percent_Applied_Research_past",0
"174","Ontario","Canada","Male","percent_Applied_Research_past",20
"175","British Columbia","Canada","Female","percent_Applied_Research_past",0
"176","Quebec","Canada","Male","percent_Applied_Research_past",0
"177","Quebec","Canada","Female","percent_Applied_Research_past",0
"178","Quebec","Canada","Male","percent_Applied_Research_past",0
"179","Quebec","Canada","Male","percent_Applied_Research_past",10
"180","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"181","Ontario","Canada","Male","percent_Applied_Research_past",10
"182","British Columbia","Canada","Male","percent_Applied_Research_past",30
"183","Saskatchewan","Canada","Male","percent_Applied_Research_past",0
"184","Ontario","Canada","Male","percent_Applied_Research_past",0
"185","Alberta","Canada","Male","percent_Applied_Research_past",0
"186","Quebec","Canada","Male","percent_Applied_Research_past",20
"187","British Columbia","Canada","Female","percent_Applied_Research_past",10
"188","Ontario","Canada","Female","percent_Applied_Research_past",0
"189","Alberta","Canada","Male","percent_Applied_Research_past",40
"190","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",50
"191","British Columbia","Canada","Male","percent_Applied_Research_past",27.2727272727273
"192","France","France","Male","percent_Applied_Research_past",0
"193","British Columbia","Canada","Male","percent_Applied_Research_past",0
"194","Ontario","Canada","Female","percent_Applied_Research_past",0
"195","Ontario","Canada","Male","percent_Applied_Research_past",10
"196","Quebec","Canada","Male","percent_Applied_Research_past",0
"197","Nova Scotia","Canada","Male","percent_Applied_Research_past",20
"198","Ontario","Canada","Female","percent_Applied_Research_past",0
"199","Quebec","Canada","Female","percent_Applied_Research_past",90
"200","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",0
"201","Ontario","Canada","Male","percent_Applied_Research_past",0
"202","British Columbia","Canada","Male","percent_Applied_Research_past",0
"203","British Columbia","Canada","Female","percent_Applied_Research_past",0
"204","","","Female","percent_Applied_Research_past",0
"205","","","Male","percent_Applied_Research_past",10
"206","Alberta","Canada","Male","percent_Applied_Research_past",80
"207","Quebec","Canada","Male","percent_Applied_Research_past",30
"208","Quebec","Canada","Male","percent_Applied_Research_past",0
"209","Ontario","Canada","Male","percent_Applied_Research_past",50
"210","Alberta","Canada","Male","percent_Applied_Research_past",10
"211","Ontario","Canada","Male","percent_Applied_Research_past",0
"212","Alberta","Canada","","percent_Applied_Research_past",50
"213","Ontario","Canada","Male","percent_Applied_Research_past",100
"214","Ontario","Canada","Male","percent_Applied_Research_past",40
"215","British Columbia","Canada","Male","percent_Applied_Research_past",0
"216","Ontario","Canada","Male","percent_Applied_Research_past",80
"217","British Columbia","Canada","Male","percent_Applied_Research_past",20
"218","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",60
"219","Quebec","Canada","Female","percent_Applied_Research_past",0
"220","Ontario","Canada","Male","percent_Applied_Research_past",50
"221","Ontario","Canada","Female","percent_Applied_Research_past",0
"222","Ontario","Canada","Male","percent_Applied_Research_past",10
"223","Ontario","Canada","Male","percent_Applied_Research_past",0
"224","British Columbia","Canada","Male","percent_Applied_Research_past",10
"225","Alberta","Canada","Female","percent_Applied_Research_past",20
"226","Manitoba","Canada","Male","percent_Applied_Research_past",0
"227","Ontario","Canada","Male","percent_Applied_Research_past",30
"228","British Columbia","Canada","Female","percent_Applied_Research_past",0
"229","Nova Scotia","Canada","","percent_Applied_Research_past",0
"230","New Brunswick","Canada","Female","percent_Applied_Research_past",0
"231","Alberta","Canada","Male","percent_Applied_Research_past",0
"232","Alberta","Canada","Male","percent_Applied_Research_past",0
"233","Ontario","Canada","Male","percent_Applied_Research_past",0
"234","Quebec","Canada","Male","percent_Applied_Research_past",0
"235","Ontario","Canada","Male","percent_Applied_Research_past",10
"236","British Columbia","Canada","Female","percent_Applied_Research_past",10
"237","Alberta","Canada","Male","percent_Applied_Research_past",0
"238","Ontario","Canada","Male","percent_Applied_Research_past",0
"239","Alberta","Canada","Male","percent_Applied_Research_past",60
"240","Ontario","Canada","Male","percent_Applied_Research_past",0
"241","Ontario","Canada","","percent_Applied_Research_past",0
"242","Ontario","Canada","Male","percent_Applied_Research_past",60
"243","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"244","Alberta","Canada","Male","percent_Applied_Research_past",10
"245","Ontario","Canada","Male","percent_Applied_Research_past",0
"246","Ontario","Canada","Female","percent_Applied_Research_past",30
"247","Ontario","Canada","Female","percent_Applied_Research_past",0
"248","Nevada","USA","Male","percent_Applied_Research_past",10
"249","Ontario","Canada","Female","percent_Applied_Research_past",0
"250","Alberta","Canada","Male","percent_Applied_Research_past",0
"251","Alberta","Canada","Female","percent_Applied_Research_past",0
"252","Alberta","Canada","Female","percent_Applied_Research_past",0
"253","Alberta","Canada","Male","percent_Applied_Research_past",40
"254","Ontario","Canada","Female","percent_Applied_Research_past",0
"255","Ontario","Canada","Male","percent_Applied_Research_past",0
"256","Ontario","Canada","Female","percent_Applied_Research_past",0
"257","Ontario","Canada","Female","percent_Applied_Research_past",0
"258","New Brunswick","Canada","Male","percent_Applied_Research_past",0
"259","Quebec","Canada","Male","percent_Applied_Research_past",0
"260","Ontario","Canada","Male","percent_Applied_Research_past",10
"261","Ontario","Canada","Male","percent_Applied_Research_past",10
"262","Ontario","Canada","Male","percent_Applied_Research_past",70
"263","","","Male","percent_Applied_Research_past",10
"264","Ontario","Canada","Male","percent_Applied_Research_past",40
"265","Ontario","Canada","Female","percent_Applied_Research_past",0
"266","Ontario","Canada","Male","percent_Applied_Research_past",0
"267","Ontario","Canada","Male","percent_Applied_Research_past",0
"268","Ontario","Canada","Female","percent_Applied_Research_past",50
"269","British Columbia","Canada","Male","percent_Applied_Research_past",30
"270","British Columbia","Canada","Male","percent_Applied_Research_past",0
"271","British Columbia","Canada","Male","percent_Applied_Research_past",30
"272","France","France","Male","percent_Applied_Research_past",20
"273","Ontario","Canada","Male","percent_Applied_Research_past",20
"274","Alberta","Canada","Female","percent_Applied_Research_past",20
"275","Alberta","Canada","Male","percent_Applied_Research_past",0
"276","Quebec","Canada","Male","percent_Applied_Research_past",30
"277","Ontario","Canada","Male","percent_Applied_Research_past",40
"278","British Columbia","Canada","Female","percent_Applied_Research_past",20
"279","Ontario","Canada","Male","percent_Applied_Research_past",0
"280","Manitoba","Canada","Male","percent_Applied_Research_past",0
"281","Ontario","Canada","Male","percent_Applied_Research_past",6.66666666666667
"282","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",40
"283","","","Other","percent_Applied_Research_past",0
"284","New York","USA","Male","percent_Applied_Research_past",0
"285","Greece","Greece","Male","percent_Applied_Research_past",0
"286","Quebec","Canada","Male","percent_Applied_Research_past",0
"287","British Columbia","Canada","Female","percent_Applied_Research_past",0
"288","British Columbia","Canada","Female","percent_Applied_Research_past",0
"289","","","Female","percent_Applied_Research_past",10
"290","Ontario","Canada","Female","percent_Applied_Research_past",70
"291","Alberta","Canada","Male","percent_Applied_Research_past",30
"292","","","Male","percent_Applied_Research_past",0
"293","Korea","Korea","Male","percent_Applied_Research_past",0
"294","Quebec","Canada","Male","percent_Applied_Research_past",30
"295","Ontario","Canada","Male","percent_Applied_Research_past",20
"296","Ontario","Canada","Female","percent_Applied_Research_past",50
"297","Alberta","Canada","Male","percent_Applied_Research_past",90
"298","","","Female","percent_Applied_Research_past",10
"299","Alberta","Canada","Male","percent_Applied_Research_past",10
"300","New Brunswick","Canada","Male","percent_Applied_Research_past",20
"301","Quebec","Canada","Male","percent_Applied_Research_past",10
"302","Vermont","USA","Female","percent_Applied_Research_past",0
"303","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"304","Ontario","Canada","Male","percent_Applied_Research_past",0
"305","Florida","USA","Male","percent_Applied_Research_past",10
"306","Chile","Chile","Male","percent_Applied_Research_past",10
"307","Saskatchewan","Canada","Male","percent_Applied_Research_past",50
"308","Yukon Territory","Canada","Female","percent_Applied_Research_past",0
"309","British Columbia","Canada","Male","percent_Applied_Research_past",0
"310","","","Male","percent_Applied_Research_past",0
"311","Prince Edward Island","Canada","Female","percent_Applied_Research_past",10
"312","Alberta","Canada","Male","percent_Applied_Research_past",40
"313","","","Male","percent_Applied_Research_past",70
"314","British Columbia","Canada","Male","percent_Applied_Research_past",0
"315","British Columbia","Canada","Male","percent_Applied_Research_past",0
"316","Ontario","Canada","Male","percent_Applied_Research_past",10
"317","British Columbia","Canada","Male","percent_Applied_Research_past",0
"318","Ontario","Canada","Male","percent_Applied_Research_past",0
"319","Quebec","Canada","Male","percent_Applied_Research_past",40
"320","Ontario","Canada","Male","percent_Applied_Research_past",10
"321","New Brunswick","Canada","Male","percent_Applied_Research_past",0
"322","Ontario","Canada","Male","percent_Applied_Research_past",10
"323","","","Male","percent_Applied_Research_past",0
"324","","","Male","percent_Applied_Research_past",0
"325","","","Male","percent_Applied_Research_past",20
"326","British Columbia","Canada","Male","percent_Applied_Research_past",9.09090909090909
"327","Ontario","Canada","Male","percent_Applied_Research_past",10
"328","New York","USA","Male","percent_Applied_Research_past",20
"329","Quebec","Canada","Male","percent_Applied_Research_past",0
"330","Alberta","Canada","Male","percent_Applied_Research_past",10
"331","Japan","Japan","Male","percent_Applied_Research_past",0
"332","Ontario","Canada","Female","percent_Applied_Research_past",10
"333","","","Male","percent_Applied_Research_past",0
"334","Ontario","Canada","Male","percent_Applied_Research_past",60
"335","Ontario","Canada","Male","percent_Applied_Research_past",50
"336","","","Male","percent_Applied_Research_past",80
"337","British Columbia","Canada","Male","percent_Applied_Research_past",20
"338","","","Male","percent_Applied_Research_past",0
"339","Ontario","Canada","Female","percent_Applied_Research_past",40
"340","Serbia","Serbia","Female","percent_Applied_Research_past",0
"341","Greece","Greece","Female","percent_Applied_Research_past",0
"342","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"343","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",0
"344","Ontario","Canada","Male","percent_Applied_Research_past",0
"345","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",0
"346","British Columbia","Canada","Male","percent_Applied_Research_past",80
"347","","","Male","percent_Applied_Research_past",10
"348","Ontario","Canada","Male","percent_Applied_Research_past",20
"349","Ontario","Canada","Male","percent_Applied_Research_past",50
"350","Germany","Germany","Male","percent_Applied_Research_past",0
"351","Alberta","Canada","Male","percent_Applied_Research_past",20
"352","Netherlands","Netherlands","Male","percent_Applied_Research_past",20
"353","Ontario","Canada","Male","percent_Applied_Research_past",0
"354","Alberta","Canada","Female","percent_Applied_Research_past",10
"355","Greece","Greece","Male","percent_Applied_Research_past",10
"356","Quebec","Canada","Male","percent_Applied_Research_past",0
"357","Ontario","Canada","Male","percent_Applied_Research_past",0
"358","Ontario","Canada","Female","percent_Applied_Research_past",0
"359","New Brunswick","Canada","Male","percent_Applied_Research_past",20
"360","Ontario","Canada","Male","percent_Applied_Research_past",0
"361","Ontario","Canada","Male","percent_Applied_Research_past",10
"362","","","Male","percent_Applied_Research_past",0
"363","United Kingdom","United Kingdom","Male","percent_Applied_Research_past",10
"364","British Columbia","Canada","Female","percent_Applied_Research_past",0
"365","Ontario","Canada","Male","percent_Applied_Research_past",0
"366","Ontario","Canada","Male","percent_Applied_Research_past",10
"367","Alberta","Canada","Male","percent_Applied_Research_past",0
"368","Quebec","Canada","Male","percent_Applied_Research_past",0
"369","Ontario","Canada","Male","percent_Applied_Research_past",40
"370","Quebec","Canada","Male","percent_Applied_Research_past",0
"371","Newfoundland and Labrador","Canada","Male","percent_Applied_Research_past",30
"372","Ontario","Canada","Female","percent_Applied_Research_past",50
"373","","","Male","percent_Applied_Research_past",50
"374","Nova Scotia","Canada","Female","percent_Applied_Research_past",0
"375","British Columbia","Canada","Male","percent_Applied_Research_past",10
"376","Ontario","Canada","Male","percent_Applied_Research_past",0
"377","","","Male","percent_Applied_Research_past",80
"378","Ontario","Canada","Male","percent_Applied_Research_past",0
"379","Ontario","Canada","Male","percent_Applied_Research_past",0
"380","","","Male","percent_Applied_Research_past",0
"381","Ontario","Canada","Male","percent_Applied_Research_past",40
"382","Alberta","Canada","Male","percent_Applied_Research_past",0
"383","British Columbia","Canada","Female","percent_Applied_Research_past",0
"384","","","Male","percent_Applied_Research_past",0
"385","Ontario","Canada","Male","percent_Applied_Research_past",0
"386","British Columbia","Canada","Male","percent_Applied_Research_past",0
"387","Germany","Germany","Male","percent_Applied_Research_past",0
"388","Spain","Spain","Male","percent_Applied_Research_past",30
"389","Germany","Germany","Male","percent_Applied_Research_past",0
"390","","","Female","percent_Applied_Research_past",0
"391","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"392","Maine","USA","Male","percent_Applied_Research_past",0
"393","Ontario","Canada","Male","percent_Applied_Research_past",20
"394","Ontario","Canada","Female","percent_Applied_Research_past",0
"395","Ontario","Canada","Female","percent_Applied_Research_past",0
"396","Ontario","Canada","Male","percent_Applied_Research_past",70
"397","Nova Scotia","Canada","Female","percent_Applied_Research_past",0
"398","Manitoba","Canada","Female","percent_Applied_Research_past",0
"399","Quebec","Canada","Male","percent_Applied_Research_past",0
"400","Nova Scotia","Canada","Female","percent_Applied_Research_past",0
"401","Quebec","Canada","Female","percent_Applied_Research_past",0
"402","Quebec","Canada","Male","percent_Applied_Research_past",100
"403","Ontario","Canada","Male","percent_Applied_Research_past",0
"404","Spain","Spain","Male","percent_Applied_Research_past",10
"405","Ontario","Canada","Male","percent_Applied_Research_past",30
"406","New Brunswick","Canada","Male","percent_Applied_Research_past",10
"407","Nunavut","Canada","Female","percent_Applied_Research_past",0
"408","Quebec","Canada","Male","percent_Applied_Research_past",10
"409","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"410","Ontario","Canada","Male","percent_Applied_Research_past",10
"411","New Brunswick","Canada","Male","percent_Applied_Research_past",0
"412","Ontario","Canada","Male","percent_Applied_Research_past",0
"413","Quebec","Canada","Male","percent_Applied_Research_past",0
"414","Quebec","Canada","Male","percent_Applied_Research_past",20
"415","Quebec","Canada","Female","percent_Applied_Research_past",70
"416","British Columbia","Canada","Male","percent_Applied_Research_past",0
"417","Quebec","Canada","Male","percent_Applied_Research_past",0
"418","Saskatchewan","Canada","Female","percent_Applied_Research_past",0
"419","Quebec","Canada","Male","percent_Applied_Research_past",0
"420","Quebec","Canada","Male","percent_Applied_Research_past",10
"421","Ontario","Canada","Male","percent_Applied_Research_past",20
"422","Massachusetts","USA","Male","percent_Applied_Research_past",0
"423","Ontario","Canada","Male","percent_Applied_Research_past",80
"424","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"425","Ontario","Canada","Female","percent_Applied_Research_past",10
"426","Saskatchewan","Canada","Male","percent_Applied_Research_past",0
"427","Quebec","Canada","Female","percent_Applied_Research_past",0
"428","Quebec","Canada","Female","percent_Applied_Research_past",0
"429","Poland","Poland","Male","percent_Applied_Research_past",0
"430","Quebec","Canada","Male","percent_Applied_Research_past",0
"431","New Brunswick","Canada","Other","percent_Applied_Research_past",10
"432","New Brunswick","Canada","Male","percent_Applied_Research_past",0
"433","Quebec","Canada","Male","percent_Applied_Research_past",0
"434","Tanzania","Tanzania","Male","percent_Applied_Research_past",80
"435","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"436","Quebec","Canada","Male","percent_Applied_Research_past",20
"437","British Columbia","Canada","Male","percent_Applied_Research_past",50
"438","Quebec","Canada","Female","percent_Applied_Research_past",30
"439","Ontario","Canada","Male","percent_Applied_Research_past",0
"440","British Columbia","Canada","Male","percent_Applied_Research_past",0
"441","Ontario","Canada","Male","percent_Applied_Research_past",20
"442","Quebec","Canada","Male","percent_Applied_Research_past",0
"443","Germany","Germany","Male","percent_Applied_Research_past",10
"444","Italy","Italy","Female","percent_Applied_Research_past",30
"445","","","Male","percent_Applied_Research_past",40
"446","Quebec","Canada","Male","percent_Applied_Research_past",100
"447","Ontario","Canada","Male","percent_Applied_Research_past",10
"448","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"449","Ontario","Canada","Male","percent_Applied_Research_past",90
"450","California","USA","Male","percent_Applied_Research_past",20
"451","Ontario","Canada","Male","percent_Applied_Research_past",0
"452","Ontario","Canada","Female","percent_Applied_Research_past",0
"453","Nova Scotia","Canada","Female","percent_Applied_Research_past",0
"454","Ontario","Canada","Female","percent_Applied_Research_past",0
"455","Nova Scotia","Canada","Male","percent_Applied_Research_past",70
"456","Ontario","Canada","Female","percent_Applied_Research_past",0
"457","New Mexico","USA","Female","percent_Applied_Research_past",0
"458","New Brunswick","Canada","Male","percent_Applied_Research_past",0
"459","Quebec","Canada","Male","percent_Applied_Research_past",0
"460","","","Male","percent_Applied_Research_past",0
"461","Ontario","Canada","Female","percent_Applied_Research_past",0
"462","Ontario","Canada","Male","percent_Applied_Research_past",20
"463","Ontario","Canada","Male","percent_Applied_Research_past",10
"464","","","Female","percent_Applied_Research_past",20
"465","Ontario","Canada","Other","percent_Applied_Research_past",0
"466","Sweden","Sweden","Female","percent_Applied_Research_past",70
"467","Denmark","Denmark","Male","percent_Applied_Research_past",0
"468","Quebec","Canada","Male","percent_Applied_Research_past",0
"469","British Columbia","Canada","Female","percent_Applied_Research_past",60
"470","Ontario","Canada","Male","percent_Applied_Research_past",0
"471","Quebec","Canada","Male","percent_Applied_Research_past",0
"472","Ontario","Canada","Male","percent_Applied_Research_past",0
"473","Nova Scotia","Canada","Male","percent_Applied_Research_past",0
"474","Brazil","Brazil","Male","percent_Applied_Research_past",60
"475","Greece","Greece","Male","percent_Applied_Research_past",0
"476","Ontario","Canada","Female","percent_Applied_Research_past",0
"477","France","France","Male","percent_Applied_Research_past",60
"478","Ontario","Canada","Male","percent_Applied_Research_past",0
"479","Denmark","Denmark","Male","percent_Applied_Research_past",10
"480","","","Male","percent_Applied_Research_past",0
"481","Nova Scotia","Canada","Male","percent_Applied_Research_past",20
